                                     | Core 0      
  Instructions                       |  75143061950
  Cycles                             |  80981856917
  IPC                                |         0.93
  Time (ns)                          |  30444307112
  Idle time (ns)                     |        50376
  Idle time (%)                      |         0.0%
Branch predictor stats               |             
  num correct                        |   7729551629
  num incorrect                      |    914957026
  misprediction rate                 |       10.58%
  mpki                               |        12.18
TLB Summary                          |             
  I-TLB                              |             
    num accesses                     |   9191133788
    num misses                       |           94
    miss rate                        |        0.00%
    mpki                             |         0.00
  D-TLB                              |             
    num accesses                     |  26200709491
    num misses                       |   1285316590
    miss rate                        |        4.91%
    mpki                             |        17.10
  L2 TLB                             |             
    num accesses                     |   1285316684
    num misses                       |    495257522
    miss rate                        |       38.53%
    mpki                             |         6.59
Cache Summary                        |             
  Cache L1-I                         |             
    num cache accesses               |   9191133788
    num cache misses                 |     34499573
    miss rate                        |        0.38%
    mpki                             |         0.46
  Cache L1-D                         |             
    num cache accesses               |  26200709491
    num cache misses                 |   2177500853
    miss rate                        |        8.31%
    mpki                             |        28.98
  Cache L2                           |             
    num cache accesses               |   2222018303
    num cache misses                 |   1464512030
    miss rate                        |       65.91%
    mpki                             |        19.49
  Cache L3                           |             
    num cache accesses               |   1474697784
    num cache misses                 |     36358782
    miss rate                        |        2.47%
    mpki                             |         0.48
DRAM summary                         |             
  num dram accesses                  |     52449806
  average dram access latency (ns)   |        64.33
  average dram queueing delay        |        10.90
  average dram bandwidth utilization |        1.00%
Coherency Traffic                    |             
  num loads from dram                |     32992154
  num loads from dram cache          |            0
  num loads from remote cache        |            0
