                                     | Core 0      
  Instructions                       |  31345315576
  Cycles                             |  30617852366
  IPC                                |         1.02
  Time (ns)                          |  11510470814
  Idle time (ns)                     |        91528
  Idle time (%)                      |         0.0%
Branch predictor stats               |             
  num correct                        |   2632295112
  num incorrect                      |    458643154
  misprediction rate                 |       14.84%
  mpki                               |        14.63
TLB Summary                          |             
  I-TLB                              |             
    num accesses                     |   3303117256
    num misses                       |           91
    miss rate                        |        0.00%
    mpki                             |         0.00
  D-TLB                              |             
    num accesses                     |   9049345250
    num misses                       |    228027373
    miss rate                        |        2.52%
    mpki                             |         7.27
  L2 TLB                             |             
    num accesses                     |    228027464
    num misses                       |     88830756
    miss rate                        |       38.96%
    mpki                             |         2.83
Cache Summary                        |             
  Cache L1-I                         |             
    num cache accesses               |   3303117256
    num cache misses                 |     14637920
    miss rate                        |        0.44%
    mpki                             |         0.47
  Cache L1-D                         |             
    num cache accesses               |   9049345250
    num cache misses                 |    483528936
    miss rate                        |        5.34%
    mpki                             |        15.43
  Cache L2                           |             
    num cache accesses               |    498686617
    num cache misses                 |    266984780
    miss rate                        |       53.54%
    mpki                             |         8.52
  Cache L3                           |             
    num cache accesses               |    267509719
    num cache misses                 |      1988482
    miss rate                        |        0.74%
    mpki                             |         0.06
DRAM summary                         |             
  num dram accesses                  |      3585848
  average dram access latency (ns)   |        59.21
  average dram queueing delay        |         5.78
  average dram bandwidth utilization |        0.00%
Coherency Traffic                    |             
  num loads from dram                |      1480062
  num loads from dram cache          |            0
  num loads from remote cache        |            0
